"Cost per message in BRL on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
Singapore,BRL,0,"150,000",List rate,0.0824,0%,0,"100,000",List rate,0.0824,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"150,001","1,000,000",Tier rate,0.0783,-5%,"100,001","300,000",Tier rate,0.0783,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,000,000",Tier rate,0.0742,-10%,"300,001","1,000,000",Tier rate,0.0742,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,000,001","25,000,000",Tier rate,0.0700,-15%,"1,000,001","10,000,000",Tier rate,0.0700,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"25,000,001","50,000,000",Tier rate,0.0659,-20%,"10,000,001","20,000,000",Tier rate,0.0659,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"50,000,001",--,Tier rate,0.0618,-25%,"20,000,001",--,Tier rate,0.0618,-25%,n/a,n/a,n/a,n/a,n/a
South Africa,BRL,0,"100,000",List rate,0.0391,0%,0,"300,000",List rate,0.0391,0%,0,"300,000",List rate,0.1029,0%
,BRL,"100,001","1,000,000",Tier rate,0.0371,-5%,"300,001","2,000,000",Tier rate,0.0371,-5%,"300,001","2,000,000",Tier rate,0.0978,-5%
,BRL,"1,000,001","4,500,000",Tier rate,0.0352,-10%,"2,000,001","10,000,000",Tier rate,0.0352,-10%,"2,000,001","10,000,000",Tier rate,0.0926,-10%
,BRL,"4,500,001","40,000,000",Tier rate,0.0332,-15%,"10,000,001","20,000,000",Tier rate,0.0332,-15%,"10,000,001","20,000,000",Tier rate,0.0875,-15%
,BRL,"40,000,001","80,000,000",Tier rate,0.0313,-20%,"20,000,001","40,000,000",Tier rate,0.0313,-20%,"20,000,001","40,000,000",Tier rate,0.0823,-20%
,BRL,"80,000,001",--,Tier rate,0.0293,-25%,"40,000,001",--,Tier rate,0.0293,-25%,"40,000,001",--,Tier rate,0.0772,-25%
Spain,BRL,0,"100,000",List rate,0.1029,0%,0,"300,000",List rate,0.1029,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0978,-5%,"300,001","2,000,000",Tier rate,0.0978,-5%,n/a,n/a,n/a,n/a,n/a
,BRL,"1,000,001","4,500,000",Tier rate,0.0926,-10%,"2,000,001","10,000,000",Tier rate,0.0926,-10%,n/a,n/a,n/a,n/a,n/a
,BRL,"4,500,001","40,000,000",Tier rate,0.0875,-15%,"10,000,001","20,000,000",Tier rate,0.0875,-15%,n/a,n/a,n/a,n/a,n/a
,BRL,"40,000,001","80,000,000",Tier rate,0.0823,-20%,"20,000,001","40,000,000",Tier rate,0.0823,-20%,n/a,n/a,n/a,n/a,n/a
,BRL,"80,000,001",--,Tier rate,0.0772,-25%,"40,000,001",--,Tier rate,0.0772,-25%,n/a,n/a,n/a,n/a,n/a
Turkey,BRL,0,"100,000",List rate,0.0046,0%,0,"300,000",List rate,0.0046,0%,n/a,n/a,n/a,n/a,n/a
,BRL,"100,001","1,000,000",Tier rate,0.0044,-5%,"300,001","2,000,000",Tier rate,0.0044,-5%,n/a,n/a,n/a,n/a,n/a
