"Cost per message in GBP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,GBP,"40,000,001","80,000,000",Tier rate,0.0038,-20%,"20,000,001","40,000,000",Tier rate,0.0038,-20%,"20,000,001","40,000,000",Tier rate,0.0433,-20%
,GBP,"80,000,001",--,Tier rate,0.0036,-25%,"40,000,001",--,Tier rate,0.0036,-25%,"40,000,001",--,Tier rate,0.0406,-25%
Pakistan,GBP,0,"150,000",List rate,0.0072,0%,0,"100,000",List rate,0.0072,0%,0,"100,000",List rate,0.0541,0%
,GBP,"150,001","1,000,000",Tier rate,0.0068,-5%,"100,001","300,000",Tier rate,0.0068,-5%,"100,001","300,000",Tier rate,0.0514,-5%
,GBP,"1,000,001","4,000,000",Tier rate,0.0065,-10%,"300,001","1,000,000",Tier rate,0.0065,-10%,"300,001","1,000,000",Tier rate,0.0487,-10%
,GBP,"4,000,001","25,000,000",Tier rate,0.0061,-15%,"1,000,001","10,000,000",Tier rate,0.0061,-15%,"1,000,001","10,000,000",Tier rate,0.0460,-15%
,GBP,"25,000,001","50,000,000",Tier rate,0.0058,-20%,"10,000,001","20,000,000",Tier rate,0.0058,-20%,"10,000,001","20,000,000",Tier rate,0.0433,-20%
,GBP,"50,000,001",--,Tier rate,0.0054,-25%,"20,000,001",--,Tier rate,0.0054,-25%,"20,000,001",--,Tier rate,0.0406,-25%
Peru,GBP,0,"100,000",List rate,0.0144,0%,0,"120,000",List rate,0.0144,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0137,-5%,"120,001","400,000",Tier rate,0.0137,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0130,-10%,"400,001","1,000,000",Tier rate,0.0130,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","15,000,000",Tier rate,0.0122,-15%,"1,000,001","5,000,000",Tier rate,0.0122,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"15,000,001","30,000,000",Tier rate,0.0115,-20%,"5,000,001","10,000,000",Tier rate,0.0115,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"30,000,001",--,Tier rate,0.0108,-25%,"10,000,001",--,Tier rate,0.0108,-25%,n/a,n/a,n/a,n/a,n/a
Poland,GBP,0,"100,000",List rate,0.0087,0%,0,"300,000",List rate,0.0087,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0083,-5%,"300,001","2,000,000",Tier rate,0.0083,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0078,-10%,"2,000,001","10,000,000",Tier rate,0.0078,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0074,-15%,"10,000,001","20,000,000",Tier rate,0.0074,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0070,-20%,"20,000,001","40,000,000",Tier rate,0.0070,-20%,n/a,n/a,n/a,n/a,n/a
