"Cost per message in ARS on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,ARS,"100,001","1,000,000",Tier rate,16.7965,-5%,"300,001","2,000,000",Tier rate,16.7965,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,15.9125,-10%,"2,000,001","10,000,000",Tier rate,15.9125,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,15.0284,-15%,"10,000,001","20,000,000",Tier rate,15.0284,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,14.1444,-20%,"20,000,001","40,000,000",Tier rate,14.1444,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,13.2604,-25%,"40,000,001",--,Tier rate,13.2604,-25%,n/a,n/a,n/a,n/a,n/a
Qatar,ARS,0,"100,000",List rate,17.3906,0%,0,"300,000",List rate,17.3906,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,16.5211,-5%,"300,001","2,000,000",Tier rate,16.5211,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,15.6515,-10%,"2,000,001","10,000,000",Tier rate,15.6515,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,14.7820,-15%,"10,000,001","20,000,000",Tier rate,14.7820,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,13.9125,-20%,"20,000,001","40,000,000",Tier rate,13.9125,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,13.0430,-25%,"40,000,001",--,Tier rate,13.0430,-25%,n/a,n/a,n/a,n/a,n/a
Romania,ARS,0,"100,000",List rate,42.0274,0%,0,"300,000",List rate,42.0274,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,39.9260,-5%,"300,001","2,000,000",Tier rate,39.9260,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,37.8247,-10%,"2,000,001","10,000,000",Tier rate,37.8247,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,35.7233,-15%,"10,000,001","20,000,000",Tier rate,35.7233,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,33.6219,-20%,"20,000,001","40,000,000",Tier rate,33.6219,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,31.5206,-25%,"40,000,001",--,Tier rate,31.5206,-25%,n/a,n/a,n/a,n/a,n/a
Russia,ARS,0,"100,000",List rate,57.9689,0%,0,"300,000",List rate,57.9689,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,55.0705,-5%,"300,001","2,000,000",Tier rate,55.0705,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,52.1720,-10%,"2,000,001","10,000,000",Tier rate,52.1720,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,49.2736,-15%,"10,000,001","20,000,000",Tier rate,49.2736,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,46.3751,-20%,"20,000,001","40,000,000",Tier rate,46.3751,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,43.4767,-25%,"40,000,001",--,Tier rate,43.4767,-25%,n/a,n/a,n/a,n/a,n/a
Saudi Arabia,ARS,0,"100,000",List rate,15.5067,0%,0,"300,000",List rate,15.5067,0%,0,"300,000",List rate,86.6636,0%
,ARS,"100,001","1,000,000",Tier rate,14.7314,-5%,"300,001","2,000,000",Tier rate,14.7314,-5%,"300,001","2,000,000",Tier rate,82.3304,-5%
,ARS,"1,000,001","4,500,000",Tier rate,13.9560,-10%,"2,000,001","10,000,000",Tier rate,13.9560,-10%,"2,000,001","10,000,000",Tier rate,77.9972,-10%
,ARS,"4,500,001","40,000,000",Tier rate,13.1807,-15%,"10,000,001","20,000,000",Tier rate,13.1807,-15%,"10,000,001","20,000,000",Tier rate,73.6641,-15%
,ARS,"40,000,001","80,000,000",Tier rate,12.4054,-20%,"20,000,001","40,000,000",Tier rate,12.4054,-20%,"20,000,001","40,000,000",Tier rate,69.3309,-20%
,ARS,"80,000,001",--,Tier rate,11.6300,-25%,"40,000,001",--,Tier rate,11.6300,-25%,"40,000,001",--,Tier rate,64.9977,-25%
Singapore,ARS,0,"150,000",List rate,23.1875,0%,0,"100,000",List rate,23.1875,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"150,001","1,000,000",Tier rate,22.0281,-5%,"100,001","300,000",Tier rate,22.0281,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,000,000",Tier rate,20.8688,-10%,"300,001","1,000,000",Tier rate,20.8688,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,000,001","25,000,000",Tier rate,19.7094,-15%,"1,000,001","10,000,000",Tier rate,19.7094,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"25,000,001","50,000,000",Tier rate,18.5500,-20%,"10,000,001","20,000,000",Tier rate,18.5500,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"50,000,001",--,Tier rate,17.3906,-25%,"20,000,001",--,Tier rate,17.3906,-25%,n/a,n/a,n/a,n/a,n/a
South Africa,ARS,0,"100,000",List rate,11.0141,0%,0,"300,000",List rate,11.0141,0%,0,"300,000",List rate,28.9845,0%
,ARS,"100,001","1,000,000",Tier rate,10.4634,-5%,"300,001","2,000,000",Tier rate,10.4634,-5%,"300,001","2,000,000",Tier rate,27.5353,-5%
,ARS,"1,000,001","4,500,000",Tier rate,9.9127,-10%,"2,000,001","10,000,000",Tier rate,9.9127,-10%,"2,000,001","10,000,000",Tier rate,26.0861,-10%
,ARS,"4,500,001","40,000,000",Tier rate,9.3620,-15%,"10,000,001","20,000,000",Tier rate,9.3620,-15%,"10,000,001","20,000,000",Tier rate,24.6368,-15%
,ARS,"40,000,001","80,000,000",Tier rate,8.8113,-20%,"20,000,001","40,000,000",Tier rate,8.8113,-20%,"20,000,001","40,000,000",Tier rate,23.1876,-20%
,ARS,"80,000,001",--,Tier rate,8.2606,-25%,"40,000,001",--,Tier rate,8.2606,-25%,"40,000,001",--,Tier rate,21.7384,-25%
Spain,ARS,0,"100,000",List rate,28.9845,0%,0,"300,000",List rate,28.9845,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,27.5353,-5%,"300,001","2,000,000",Tier rate,27.5353,-5%,n/a,n/a,n/a,n/a,n/a
,ARS,"1,000,001","4,500,000",Tier rate,26.0861,-10%,"2,000,001","10,000,000",Tier rate,26.0861,-10%,n/a,n/a,n/a,n/a,n/a
,ARS,"4,500,001","40,000,000",Tier rate,24.6368,-15%,"10,000,001","20,000,000",Tier rate,24.6368,-15%,n/a,n/a,n/a,n/a,n/a
,ARS,"40,000,001","80,000,000",Tier rate,23.1876,-20%,"20,000,001","40,000,000",Tier rate,23.1876,-20%,n/a,n/a,n/a,n/a,n/a
,ARS,"80,000,001",--,Tier rate,21.7384,-25%,"40,000,001",--,Tier rate,21.7384,-25%,n/a,n/a,n/a,n/a,n/a
Turkey,ARS,0,"100,000",List rate,1.3043,0%,0,"300,000",List rate,1.3043,0%,n/a,n/a,n/a,n/a,n/a
,ARS,"100,001","1,000,000",Tier rate,1.2391,-5%,"300,001","2,000,000",Tier rate,1.2391,-5%,n/a,n/a,n/a,n/a,n/a
