"Cost per message in IDR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,IDR,"300,000,001",--,Tier rate,13.98,-30%,"100,000,001",--,Tier rate,13.98,-30%,"100,000,001",--,Tier rate,303.58,-30%
Indonesia,IDR,0,"750,000",List rate,356.65,0%,0,"750,000",List rate,356.65,0%,0,"750,000",List rate,"1,940.13",0%
,IDR,"750,001","4,000,000",Tier rate,338.82,-5%,"750,001","2,000,000",Tier rate,338.82,-5%,"750,001","2,000,000",Tier rate,"1,843.12",-5%
,IDR,"4,000,001","25,000,000",Tier rate,320.99,-10%,"2,000,001","6,000,000",Tier rate,320.99,-10%,"2,000,001","6,000,000",Tier rate,"1,746.12",-10%
,IDR,"25,000,001","75,000,000",Tier rate,303.15,-15%,"6,000,001","30,000,000",Tier rate,303.15,-15%,"6,000,001","30,000,000",Tier rate,"1,649.11",-15%
,IDR,"75,000,001","150,000,000",Tier rate,285.32,-20%,"30,000,001","60,000,000",Tier rate,285.32,-20%,"30,000,001","60,000,000",Tier rate,"1,552.10",-20%
,IDR,"150,000,001",--,Tier rate,267.49,-25%,"60,000,001",--,Tier rate,267.49,-25%,"60,000,001",--,Tier rate,"1,455.10",-25%
Israel,IDR,0,"100,000",List rate,75.64,0%,0,"300,000",List rate,75.64,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,71.86,-5%,"300,001","2,000,000",Tier rate,71.86,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,68.08,-10%,"2,000,001","10,000,000",Tier rate,68.08,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,64.29,-15%,"10,000,001","20,000,000",Tier rate,64.29,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,60.51,-20%,"20,000,001","40,000,000",Tier rate,60.51,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,56.73,-25%,"40,000,001",--,Tier rate,56.73,-25%,n/a,n/a,n/a,n/a,n/a
Italy,IDR,0,"100,000",List rate,427.89,0%,0,"300,000",List rate,427.89,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,406.50,-5%,"300,001","2,000,000",Tier rate,406.50,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,385.10,-10%,"2,000,001","10,000,000",Tier rate,385.10,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,363.71,-15%,"10,000,001","20,000,000",Tier rate,363.71,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,342.31,-20%,"20,000,001","40,000,000",Tier rate,342.31,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,320.92,-25%,"40,000,001",--,Tier rate,320.92,-25%,n/a,n/a,n/a,n/a,n/a
Malaysia,IDR,0,"150,000",List rate,199.82,0%,0,"100,000",List rate,199.82,0%,0,"100,000",List rate,596.63,0%
,IDR,"150,001","1,000,000",Tier rate,189.83,-5%,"100,001","300,000",Tier rate,189.83,-5%,"100,001","300,000",Tier rate,566.80,-5%
,IDR,"1,000,001","4,000,000",Tier rate,179.84,-10%,"300,001","1,000,000",Tier rate,179.84,-10%,"300,001","1,000,000",Tier rate,536.97,-10%
,IDR,"4,000,001","25,000,000",Tier rate,169.85,-15%,"1,000,001","10,000,000",Tier rate,169.85,-15%,"1,000,001","10,000,000",Tier rate,507.14,-15%
,IDR,"25,000,001","50,000,000",Tier rate,159.86,-20%,"10,000,001","20,000,000",Tier rate,159.86,-20%,"10,000,001","20,000,000",Tier rate,477.30,-20%
,IDR,"50,000,001",--,Tier rate,149.87,-25%,"20,000,001",--,Tier rate,149.87,-25%,"20,000,001",--,Tier rate,447.47,-25%
Mexico,IDR,0,"1,000,000",List rate,121.24,0%,0,"250,000",List rate,121.24,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","5,000,000",Tier rate,115.18,-5%,"250,001","1,000,000",Tier rate,115.18,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"5,000,001","10,000,000",Tier rate,109.12,-10%,"1,000,001","3,000,000",Tier rate,109.12,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"10,000,001","20,000,000",Tier rate,103.05,-15%,"3,000,001","5,000,000",Tier rate,103.05,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"20,000,001","40,000,000",Tier rate,96.99,-20%,"5,000,001","10,000,000",Tier rate,96.99,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001",--,Tier rate,90.93,-25%,"10,000,001",--,Tier rate,90.93,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,IDR,0,"100,000",List rate,713.78,0%,0,"300,000",List rate,713.78,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,678.09,-5%,"300,001","2,000,000",Tier rate,678.09,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,642.40,-10%,"2,000,001","10,000,000",Tier rate,642.40,-10%,n/a,n/a,n/a,n/a,n/a
