"Cost per message in USD on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,INR,"50,000,001",--,Tier rate,0.7697,-25%,"20,000,001",--,Tier rate,0.7697,-25%,"20,000,001",--,Tier rate,2.2979,-25%
Mexico,INR,0,"1,000,000",List rate,0.6226,0%,0,"250,000",List rate,0.6226,0%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","5,000,000",Tier rate,0.5915,-5%,"250,001","1,000,000",Tier rate,0.5915,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"5,000,001","10,000,000",Tier rate,0.5603,-10%,"1,000,001","3,000,000",Tier rate,0.5603,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"10,000,001","20,000,000",Tier rate,0.5292,-15%,"3,000,001","5,000,000",Tier rate,0.5292,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"20,000,001","40,000,000",Tier rate,0.4981,-20%,"5,000,001","10,000,000",Tier rate,0.4981,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"40,000,001",--,Tier rate,0.4670,-25%,"10,000,001",--,Tier rate,0.4670,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,INR,0,"100,000",List rate,3.6656,0%,0,"300,000",List rate,3.6656,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,3.4823,-5%,"300,001","2,000,000",Tier rate,3.4823,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,3.2990,-10%,"2,000,001","10,000,000",Tier rate,3.2990,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","40,000,000",Tier rate,3.1158,-15%,"10,000,001","20,000,000",Tier rate,3.1158,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"40,000,001","80,000,000",Tier rate,2.9325,-20%,"20,000,001","40,000,000",Tier rate,2.9325,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"80,000,001",--,Tier rate,2.7492,-25%,"40,000,001",--,Tier rate,2.7492,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,INR,0,"100,000",List rate,0.4915,0%,0,"300,000",List rate,0.4915,0%,0,"300,000",List rate,5.5035,0%
,INR,"100,001","1,000,000",Tier rate,0.4669,-5%,"300,001","2,000,000",Tier rate,0.4669,-5%,"300,001","2,000,000",Tier rate,5.2283,-5%
,INR,"1,000,001","4,500,000",Tier rate,0.4424,-10%,"2,000,001","10,000,000",Tier rate,0.4424,-10%,"2,000,001","10,000,000",Tier rate,4.9532,-10%
,INR,"4,500,001","40,000,000",Tier rate,0.4178,-15%,"10,000,001","20,000,000",Tier rate,0.4178,-15%,"10,000,001","20,000,000",Tier rate,4.6780,-15%
,INR,"40,000,001","80,000,000",Tier rate,0.3932,-20%,"20,000,001","40,000,000",Tier rate,0.3932,-20%,"20,000,001","40,000,000",Tier rate,4.4028,-20%
,INR,"80,000,001",--,Tier rate,0.3686,-25%,"40,000,001",--,Tier rate,0.3686,-25%,"40,000,001",--,Tier rate,4.1276,-25%
Pakistan,INR,0,"150,000",List rate,0.7333,0%,0,"100,000",List rate,0.7333,0%,0,"100,000",List rate,5.5035,0%
,INR,"150,001","1,000,000",Tier rate,0.6966,-5%,"100,001","300,000",Tier rate,0.6966,-5%,"100,001","300,000",Tier rate,5.2283,-5%
,INR,"1,000,001","4,000,000",Tier rate,0.6600,-10%,"300,001","1,000,000",Tier rate,0.6600,-10%,"300,001","1,000,000",Tier rate,4.9532,-10%
,INR,"4,000,001","25,000,000",Tier rate,0.6233,-15%,"1,000,001","10,000,000",Tier rate,0.6233,-15%,"1,000,001","10,000,000",Tier rate,4.6780,-15%
,INR,"25,000,001","50,000,000",Tier rate,0.5866,-20%,"10,000,001","20,000,000",Tier rate,0.5866,-20%,"10,000,001","20,000,000",Tier rate,4.4028,-20%
,INR,"50,000,001",--,Tier rate,0.5500,-25%,"20,000,001",--,Tier rate,0.5500,-25%,"20,000,001",--,Tier rate,4.1276,-25%
Peru,INR,0,"100,000",List rate,1.4662,0%,0,"120,000",List rate,1.4662,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,1.3929,-5%,"120,001","400,000",Tier rate,1.3929,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,1.3196,-10%,"400,001","1,000,000",Tier rate,1.3196,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","15,000,000",Tier rate,1.2463,-15%,"1,000,001","5,000,000",Tier rate,1.2463,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"15,000,001","30,000,000",Tier rate,1.1730,-20%,"5,000,001","10,000,000",Tier rate,1.1730,-20%,n/a,n/a,n/a,n/a,n/a
,INR,"30,000,001",--,Tier rate,1.0997,-25%,"10,000,001",--,Tier rate,1.0997,-25%,n/a,n/a,n/a,n/a,n/a
Poland,INR,0,"100,000",List rate,0.8918,0%,0,"300,000",List rate,0.8918,0%,n/a,n/a,n/a,n/a,n/a
,INR,"100,001","1,000,000",Tier rate,0.8472,-5%,"300,001","2,000,000",Tier rate,0.8472,-5%,n/a,n/a,n/a,n/a,n/a
,INR,"1,000,001","4,500,000",Tier rate,0.8026,-10%,"2,000,001","10,000,000",Tier rate,0.8026,-10%,n/a,n/a,n/a,n/a,n/a
,INR,"4,500,001","40,000,000",Tier rate,0.7580,-15%,"10,000,001","20,000,000",Tier rate,0.7580,-15%,n/a,n/a,n/a,n/a,n/a
,INR,"40,000,001","80,000,000",Tier rate,0.7134,-20%,"20,000,001","40,000,000",Tier rate,0.7134,-20%,n/a,n/a,n/a,n/a,n/a
