"Cost per message in EUR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,EUR,"1,000,001","4,500,000",Tier rate,0.0057,-10%,"2,000,001","10,000,000",Tier rate,0.0057,-10%,"2,000,001","10,000,000",Tier rate,0.0149,-10%
,EUR,"4,500,001","40,000,000",Tier rate,0.0054,-15%,"10,000,001","20,000,000",Tier rate,0.0054,-15%,"10,000,001","20,000,000",Tier rate,0.0141,-15%
,EUR,"40,000,001","80,000,000",Tier rate,0.0050,-20%,"20,000,001","40,000,000",Tier rate,0.0050,-20%,"20,000,001","40,000,000",Tier rate,0.0133,-20%
,EUR,"80,000,001",--,Tier rate,0.0047,-25%,"40,000,001",--,Tier rate,0.0047,-25%,"40,000,001",--,Tier rate,0.0125,-25%
Spain,EUR,0,"100,000",List rate,0.0166,0%,0,"300,000",List rate,0.0166,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0158,-5%,"300,001","2,000,000",Tier rate,0.0158,-5%,n/a,n/a,n/a,n/a,n/a
,EUR,"1,000,001","4,500,000",Tier rate,0.0149,-10%,"2,000,001","10,000,000",Tier rate,0.0149,-10%,n/a,n/a,n/a,n/a,n/a
,EUR,"4,500,001","40,000,000",Tier rate,0.0141,-15%,"10,000,001","20,000,000",Tier rate,0.0141,-15%,n/a,n/a,n/a,n/a,n/a
,EUR,"40,000,001","80,000,000",Tier rate,0.0133,-20%,"20,000,001","40,000,000",Tier rate,0.0133,-20%,n/a,n/a,n/a,n/a,n/a
,EUR,"80,000,001",--,Tier rate,0.0125,-25%,"40,000,001",--,Tier rate,0.0125,-25%,n/a,n/a,n/a,n/a,n/a
Turkey,EUR,0,"100,000",List rate,0.0007,0%,0,"300,000",List rate,0.0007,0%,n/a,n/a,n/a,n/a,n/a
,EUR,"100,001","1,000,000",Tier rate,0.0007,-5%,"300,001","2,000,000",Tier rate,0.0007,-5%,n/a,n/a,n/a,n/a,n/a
