"Cost per message in COP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,COP,"80,000,001",--,Tier rate,138.0680,-25%,"40,000,001",--,Tier rate,138.0680,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,COP,0,"100,000",List rate,24.6681,0%,0,"300,000",List rate,24.6681,0%,0,"300,000",List rate,276.1360,0%
,COP,"100,001","1,000,000",Tier rate,23.4347,-5%,"300,001","2,000,000",Tier rate,23.4347,-5%,"300,001","2,000,000",Tier rate,262.3292,-5%
,COP,"1,000,001","4,500,000",Tier rate,22.2013,-10%,"2,000,001","10,000,000",Tier rate,22.2013,-10%,"2,000,001","10,000,000",Tier rate,248.5224,-10%
,COP,"4,500,001","40,000,000",Tier rate,20.9679,-15%,"10,000,001","20,000,000",Tier rate,20.9679,-15%,"10,000,001","20,000,000",Tier rate,234.7156,-15%
,COP,"40,000,001","80,000,000",Tier rate,19.7345,-20%,"20,000,001","40,000,000",Tier rate,19.7345,-20%,"20,000,001","40,000,000",Tier rate,220.9088,-20%
,COP,"80,000,001",--,Tier rate,18.5011,-25%,"40,000,001",--,Tier rate,18.5011,-25%,"40,000,001",--,Tier rate,207.1020,-25%
Pakistan,COP,0,"150,000",List rate,36.8181,0%,0,"100,000",List rate,36.8181,0%,0,"100,000",List rate,276.1360,0%
,COP,"150,001","1,000,000",Tier rate,34.9772,-5%,"100,001","300,000",Tier rate,34.9772,-5%,"100,001","300,000",Tier rate,262.3292,-5%
,COP,"1,000,001","4,000,000",Tier rate,33.1363,-10%,"300,001","1,000,000",Tier rate,33.1363,-10%,"300,001","1,000,000",Tier rate,248.5224,-10%
,COP,"4,000,001","25,000,000",Tier rate,31.2954,-15%,"1,000,001","10,000,000",Tier rate,31.2954,-15%,"1,000,001","10,000,000",Tier rate,234.7156,-15%
,COP,"25,000,001","50,000,000",Tier rate,29.4545,-20%,"10,000,001","20,000,000",Tier rate,29.4545,-20%,"10,000,001","20,000,000",Tier rate,220.9088,-20%
,COP,"50,000,001",--,Tier rate,27.6136,-25%,"20,000,001",--,Tier rate,27.6136,-25%,"20,000,001",--,Tier rate,207.1020,-25%
Peru,COP,0,"100,000",List rate,73.6363,0%,0,"120,000",List rate,73.6363,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,69.9545,-5%,"120,001","400,000",Tier rate,69.9545,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,66.2727,-10%,"400,001","1,000,000",Tier rate,66.2727,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","15,000,000",Tier rate,62.5909,-15%,"1,000,001","5,000,000",Tier rate,62.5909,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"15,000,001","30,000,000",Tier rate,58.9090,-20%,"5,000,001","10,000,000",Tier rate,58.9090,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"30,000,001",--,Tier rate,55.2272,-25%,"10,000,001",--,Tier rate,55.2272,-25%,n/a,n/a,n/a,n/a,n/a
Poland,COP,0,"100,000",List rate,44.9181,0%,0,"300,000",List rate,44.9181,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,42.6722,-5%,"300,001","2,000,000",Tier rate,42.6722,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,40.4263,-10%,"2,000,001","10,000,000",Tier rate,40.4263,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,38.1804,-15%,"10,000,001","20,000,000",Tier rate,38.1804,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,35.9345,-20%,"20,000,001","40,000,000",Tier rate,35.9345,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,33.6886,-25%,"40,000,001",--,Tier rate,33.6886,-25%,n/a,n/a,n/a,n/a,n/a
Qatar,COP,0,"100,000",List rate,44.1818,0%,0,"300,000",List rate,44.1818,0%,n/a,n/a,n/a,n/a,n/a
