"Cost per message in MXN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,MXN,"1,000,001","5,000,000",Tier rate,0.1487,-5%,"250,001","1,000,000",Tier rate,0.1487,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"5,000,001","10,000,000",Tier rate,0.1409,-10%,"1,000,001","3,000,000",Tier rate,0.1409,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"10,000,001","20,000,000",Tier rate,0.1330,-15%,"3,000,001","5,000,000",Tier rate,0.1330,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"20,000,001","40,000,000",Tier rate,0.1252,-20%,"5,000,001","10,000,000",Tier rate,0.1252,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001",--,Tier rate,0.1174,-25%,"10,000,001",--,Tier rate,0.1174,-25%,n/a,n/a,n/a,n/a,n/a
Netherlands,MXN,0,"100,000",List rate,0.9203,0%,0,"300,000",List rate,0.9203,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.8743,-5%,"300,001","2,000,000",Tier rate,0.8743,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.8283,-10%,"2,000,001","10,000,000",Tier rate,0.8283,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.7823,-15%,"10,000,001","20,000,000",Tier rate,0.7823,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.7362,-20%,"20,000,001","40,000,000",Tier rate,0.7362,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.6902,-25%,"40,000,001",--,Tier rate,0.6902,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,MXN,0,"100,000",List rate,0.1233,0%,0,"300,000",List rate,0.1233,0%,0,"300,000",List rate,1.3805,0%
,MXN,"100,001","1,000,000",Tier rate,0.1171,-5%,"300,001","2,000,000",Tier rate,0.1171,-5%,"300,001","2,000,000",Tier rate,1.3115,-5%
,MXN,"1,000,001","4,500,000",Tier rate,0.1110,-10%,"2,000,001","10,000,000",Tier rate,0.1110,-10%,"2,000,001","10,000,000",Tier rate,1.2425,-10%
,MXN,"4,500,001","40,000,000",Tier rate,0.1048,-15%,"10,000,001","20,000,000",Tier rate,0.1048,-15%,"10,000,001","20,000,000",Tier rate,1.1734,-15%
